model,accent,n_samples,mean_wer,mean_cer,mean_wrr
whisper-small,ikwere,2,12.4706,13.2748,-11.4706
whisper-small,afemai,1,7.4,4.5683,-6.4
whisper-small,khana,37,3.0926,2.2123,-2.0926
whisper-small,bekwarra,15,2.2412,0.6749,-1.2412
whisper-small,nyandang,25,2.0524,2.1171,-1.0524
whisper-small,hausa,144,1.5064,1.0705,-0.5064
whisper-small,berom,62,1.3451,0.8013,-0.3451
whisper-small,bini,86,1.1599,0.7649,-0.1599
whisper-small,xhosa,8,1.1362,0.4925,-0.1362
whisper-small,efik,25,0.9911,0.5611,0.0089
whisper-small,sepedi,17,0.9138,0.5676,0.0862
whisper-small,delta,16,0.8431,0.4138,0.1569
whisper-small,igarra,50,0.8198,0.5251,0.1802
whisper-small,estako,20,0.8031,0.4796,0.1969
whisper-small,angas,45,0.8018,0.4728,0.1982
whisper-small,ebiobo,6,0.7343,0.383,0.2657
whisper-small,agatu,55,0.7149,0.5071,0.2851
whisper-small,fulani,48,0.7104,0.3109,0.2896
whisper-small,nupe,2,0.7083,0.3454,0.2917
whisper-small,ukwuani,79,0.6697,0.3909,0.3303
whisper-small,kalabari,33,0.6443,0.3151,0.3557
whisper-small,okrika,10,0.6388,0.4676,0.3612
whisper-small,anaang,97,0.6324,0.378,0.3676
whisper-small,etche,10,0.6203,0.5086,0.3797
whisper-small,hausa/fulani,10,0.6041,0.301,0.3959
whisper-small,yoruba,269,0.5926,0.3902,0.4074
whisper-small,igbo,192,0.5723,0.298,0.4277
whisper-small,isoko,4,0.5694,0.2152,0.4306
whisper-small,ijaw(nembe),52,0.547,0.2851,0.453
whisper-small,ogbia,42,0.5456,0.2849,0.4544
whisper-small,ekpeye,52,0.5445,0.4231,0.4555
whisper-small,mwaghavul,78,0.5368,0.2765,0.4632
whisper-small,idah,34,0.5304,0.3263,0.4696
whisper-small,eleme,60,0.5237,0.2145,0.4763
whisper-small,ikulu,61,0.5126,0.1981,0.4874
whisper-small,akan (fante),25,0.5115,0.2204,0.4885
whisper-small,etsako,25,0.5099,0.2538,0.4901
whisper-small,mada,90,0.4979,0.2986,0.5021
whisper-small,bette,3,0.4878,0.2933,0.5122
whisper-small,idoma,44,0.4806,0.2237,0.5194
whisper-small,ibani,37,0.4732,0.2371,0.5268
whisper-small,bagi,20,0.4578,0.2392,0.5422
whisper-small,bassa,49,0.4565,0.2962,0.5435
whisper-small,ijaw,36,0.4553,0.2335,0.5447
whisper-small,igala,7,0.4528,0.3013,0.5472
whisper-small,ishan,23,0.4436,0.2626,0.5564
whisper-small,sesotho,16,0.4317,0.2095,0.5683
whisper-small,afo,23,0.4266,0.1919,0.5734
whisper-small,bassa-nge/nupe,19,0.4227,0.1782,0.5773
whisper-small,kanuri,7,0.4148,0.1562,0.5852
whisper-small,jaba,40,0.4126,0.2073,0.5874
whisper-small,yala mbembe,15,0.4078,0.184,0.5922
whisper-small,ekene,56,0.4069,0.1943,0.5931
whisper-small,tswana,9,0.3985,0.1753,0.6015
whisper-small,gbagyi,29,0.3985,0.1605,0.6015
whisper-small,english,103,0.3951,0.1891,0.6049
whisper-small,ogoni,24,0.3854,0.1778,0.6146
whisper-small,jukun,9,0.3846,0.1775,0.6154
whisper-small,luhya,72,0.3674,0.1291,0.6326
whisper-small,luganda,23,0.3657,0.1916,0.6343
whisper-small,"yoruba, hausa",31,0.3624,0.2419,0.6376
whisper-small,nembe,3,0.3619,0.1631,0.6381
whisper-small,itsekiri,18,0.3439,0.1567,0.6561
whisper-small,urhobo,9,0.331,0.141,0.669
whisper-small,bajju,71,0.3262,0.1259,0.6738
whisper-small,epie,26,0.3257,0.1585,0.6743
whisper-small,kinyarwanda,13,0.3133,0.112,0.6867
whisper-small,eket,28,0.3097,0.1209,0.6903
whisper-small,luo,7,0.3082,0.1308,0.6918
whisper-small,oklo,39,0.3039,0.2964,0.6961
whisper-small,siswati,8,0.3011,0.0619,0.6989
whisper-small,ebira,30,0.2997,0.1448,0.7003
whisper-small,zulu,78,0.2994,0.1218,0.7006
whisper-small,ika,19,0.2956,0.1112,0.7044
whisper-small,swahili,225,0.2947,0.1646,0.7053
whisper-small,obolo,37,0.2881,0.1244,0.7119
whisper-small,eggon,3,0.2849,0.1598,0.7151
whisper-small,pidgin,27,0.2827,0.1198,0.7173
whisper-small,akan,12,0.2803,0.1099,0.7197
whisper-small,sotho,7,0.2708,0.1329,0.7292
whisper-small,ibibio,34,0.266,0.1027,0.734
whisper-small,kubi,39,0.2621,0.1243,0.7379
whisper-small,isixhosa,14,0.2165,0.0858,0.7835
whisper-small,kikuyu,17,0.2155,0.0935,0.7845
whisper-small,igbo and yoruba,13,0.2129,0.1061,0.7871
whisper-small,setswana,33,0.1924,0.0792,0.8076
whisper-small,twi,39,0.189,0.0706,0.811
whisper-small,shona,10,0.1869,0.0736,0.8131
whisper-small,kiswahili,15,0.1841,0.0651,0.8159
whisper-small,south african english,5,0.1732,0.033,0.8268
whisper-small,isizulu,60,0.1717,0.0726,0.8283
whisper-small,tshivenda,18,0.1696,0.0591,0.8304
whisper-small,brass,56,0.1349,0.0508,0.8651
whisper-small,esan,5,0.1102,0.0379,0.8898
whisper-small,ngas,5,0.0587,0.0333,0.9413
